,tweet_id,retweet_count,favorite_count,cleaned_tweet,length_before,length_after,ratio_of_length,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamations,number_of_exclamation_marks,label
22,1241465915486670848,86484,390882,i do not understand how mcdonalds can serve two billion hamburgers every year but when i order five million at the drive thru it overwhelms the system,150,150,1.0,2,0,0,0,0,0
23,1241009089091600392,74262,259407,bro china is out here reading niggas power levels and we cant even get adequate testing,89,87,0.9775280898876404,2,0,0,0,0,0
24,1241466219791822849,80267,271769,when this corona shit is over please invite me out. i know i be flaky sometimes but my ass is going to come outside i promise lol,129,129,1.0,4,0,0,0,0,0
25,1241871812591419392,83021,157590,"y’all miss your ex, i miss life without the corona virus",56,56,1.0,2,0,0,0,0,0
26,1241696164782669824,74313,167262,"“i stopped him and said, 'look, this isn't a movie. you are not will smith in i am legend. go home.” this is the updated compilation of italian mayors losing it at people violating covid19 quarantine. yes, subtitles are accurate. URL",254,233,0.9173228346456693,16,0,0,0,0,0
27,1241287878354677760,71567,142812,"please don't take hydroxychloroquine (plaquenil) plus azithromycin for covid19 unless your doctor prescribes it. both drugs affect the qt interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.",274,273,0.9963503649635036,17,0,0,0,0,1
28,1240335912329977858,282177,1357794,day 5: we have rediscovered farming,35,35,1.0,2,0,0,0,0,0
29,1241902001539203073,66818,217083,this corona virus will pass by mid april !! speaking it into existence,70,70,1.0,4,0,0,1,2,1
30,1242302400762908685,70258,134503,thank you everyone for your incredible messages of support and encouragement. many of you asked what it was like in the er right now. i want to share a bit with you. please rt: a day in the life of an er doc - a brief dispatch from the covid19 frontline:,259,254,0.9806949806949807,23,0,0,0,0,0
31,1242476408896507910,71031,271277,"my fellow citizens, there is absolutely no need to panic. essential commodities, medicines etc. would be available. centre and various state governments will work in close coordination to ensure this. together, we will fight covid-19 and create a healthier india. jai hind!",279,273,0.978494623655914,42,0,0,1,1,1
32,1241528549183385601,60980,245134,no.. one... cleans like gaston quarantines like gaston no one stops spreading covid-19 like gaston,99,98,0.98989898989899,8,0,0,0,0,1
33,1241247329572683776,61815,169099,"this is why the beaches haven't closed in florida, and why they've had minimal covid-19 prevention. absolute dysfunction. URL",145,125,0.8620689655172413,9,0,0,0,0,1
34,1241403715036291072,60724,155240,my new favourite thing is italian mayors and regional presidents losing it at people violating quarantine. here's an eng subtitled compilation. “i hear you wanna throw graduation parties. i'm gonna send the police over. with flamethrowers.” covid19 coronavirus URL,286,264,0.9230769230769231,21,0,0,0,0,0
35,1240987594080559105,55029,85056,"covid-19 finally, some sensible advice from a nurse “what i have seen a lot of are recommendations for how to try to avoid getting coronavirus in the first place -- good hand washing, personal hygiene and social distancing -- but what i have not seen a lot of is advice for...",278,276,0.9928057553956835,13,0,0,0,0,0
36,1240666954958069768,65580,376602,"corona virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.",127,127,1.0,2,0,0,0,0,1
37,1241359584784044033,67049,74143,day 6 of quarantine: my dad gave a talk to the cats about covid-19 URL,99,70,0.7070707070707071,5,0,0,0,0,0
38,1240620727306510342,104845,417370,this is generation z. i want to name that because folks love calling everybody 40 and under millennials. millennials are not at spring break. millennials are at home yelling at their boomer parents who won’t sit still because they have “faith over fear”.,258,254,0.9844961240310077,10,0,0,0,0,1
39,1240780691362570240,56042,347525,“hey guys happy self quarantine. the corona virus is a real thing.” wow i had no idea! thanks kylie! URL,125,104,0.832,8,0,0,1,2,0
40,1241054976270614535,51305,129170,"the world health organization warns young people: “you are not invincible.” covid-19 could “put you in hospital for weeks, or even kill you. even if you don’t get sick, the choices you make about where you go could be the difference between life and death for someone else.”",276,274,0.9927536231884058,11,0,0,0,0,1
41,1240847006907711490,49611,254071,this man hospital bill bout to be so much.,42,42,1.0,1,0,0,0,0,1
42,1241699484469526531,50803,70074,video of a hospital in spain. watch it. watch it again with the volume up. now cancel that brunch. postpone that coffee meet-up. rain check that dinner with friends. sucks doesn’t it? but not as hard as this covid19 coronavirus stayathome URL,274,242,0.8832116788321168,23,1,1,0,0,0
43,1242087413868003333,49238,340223,when you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... came up with this himself! i’m so impressed. coronavirus stayhomestaysafe URL,215,191,0.8883720930232558,12,0,0,1,1,0
44,1240789646893821953,45875,117152,"covid-19 might be big, but i just want to remind y’all that our god is bigger.",79,78,0.9873417721518988,9,0,0,0,0,0
45,1242131768662282243,59435,271463,cdc just announced that corona can be spread via instagram story challenges :-/,79,79,1.0,4,0,0,0,0,1
46,1241225019952263170,45726,71877,"katie porter's sister, a doctor, is breaking down how staying in can save lives during the covid-19 crisis URL",130,110,0.8461538461538461,10,0,0,0,0,1
47,1240805124143906816,44451,139394,anybody else just randomly yell “corona virus” in cardi’s voice ?,65,65,1.0,4,1,1,0,0,0
48,1241745355957514241,45126,100141,"these workers need protection, healthcare, and sick pay—regardless of citizenship status. their services are essential and there needs to be more aggressive dialogue around this issue. what would life look like without them? i don’t want to know!",246,246,1.0,44,1,1,1,1,0
49,1240852412203589632,47696,139193,me: h- my mom with her phd in corona virus after graduating from whatsapp threads: URL,107,86,0.8037383177570093,6,0,0,0,0,0
50,1241952866404687872,35984,86771,check out bts’ message of hope to overcome covid19 by looking after each other! we invite son heung-min to continue the message! URL stayconnected staystrong_army _  btslovemyself endviolence,237,191,0.8059071729957806,32,0,0,1,2,0
51,1240683123362406410,43816,300077,white people: covid-19 black folks: the rona gay people : miss rona,76,67,0.881578947368421,17,0,0,0,0,0
52,1240831248861474816,42605,141986,corona sis you leaving by may right? URL,60,40,0.6666666666666666,3,1,1,0,0,0
53,1240714976060248064,46718,245654,wow...taken this morning....never seen vegas this empty before tbh coronavirus URL,103,82,0.7961165048543689,4,0,0,0,0,0
54,1240618235499819008,49370,302708,"there was a nasty flu that went round in december / early jan. i’m telling you, that was corona. bare ppl were sick (including me) complaining of what we now know as the symptoms for corona.",190,190,1.0,5,0,0,0,0,1
55,1240630649192677378,38278,266962,"so, due to covid-19 fucking everything up, i thought 'why dont we have a twitter prom?' so, without further ado, i invite you all the my twitter prom! you can ask someone to go with you as a friend or as a partner. the prom will be held on the 25th of march. interact to join!",280,276,0.9857142857142858,14,1,1,1,2,0
56,1241439824239906817,43377,182650,batman bussing tables now. times is hard.,41,41,1.0,2,0,0,0,0,0
57,1241986189437087744,47115,35037,from this to this URL,62,21,0.3387096774193548,4,0,0,0,0,0
58,1241385872001384449,37520,149432,"today we lost 2 colleagues, a young adult cardiology fellow &amp; a medical oncologist due to covid-19 . we pause to pray for them, and yet this war is just starting, with no end in sight! we ask for your prayers we ask our politicians to help and aggresively act for support!",279,276,0.989247311827957,11,0,0,1,2,1
59,1240690021759238144,61515,371022,china has 24 times more people than italy...,44,44,1.0,2,0,0,0,0,1
60,1241050910085840903,38541,156419,"after this is all over, please remember in future job interviews to ask them what their company did to protect their employees with regards to the global covid-19 situation. can't be risking working for wayward companies.",221,221,1.0,7,0,0,0,0,0
61,1242136816469389316,35373,147136,my flintstones gummies from 15 years ago fighting corona URL,82,60,0.7317073170731707,5,0,0,0,0,1
62,1240797127539920896,45888,126643,but bitch y’all said— URL,45,25,0.5555555555555556,5,0,0,0,0,0
63,1240340480342310915,98068,550226,"hi. yes, it originated in china, but the technical term is covid-19 your mom originated from the back of a buick skylark, but we call her judith don’t be mean.",164,159,0.9695121951219512,9,0,0,0,0,1
64,1241135631406977031,33928,77181,dominican republic found the cure for covid-19 URL,72,50,0.6944444444444444,6,0,0,0,0,1
65,1242255630938845184,40879,129354,y’all had the gummies? i was eating that pure rock we ain’t built the same,74,74,1.0,6,1,1,0,0,0
66,1241090332676194310,33671,77138,the epidemiologist who helped eradicate smallpox says trump’s early handling of covid-19 is “is the most irresponsible act of an elected official that i've ever witnessed in my lifetime.” URL,211,191,0.9052132701421801,14,0,0,0,0,1
67,1242114805588267008,38869,133168,here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against covid-19 in the coming weeks. URL,179,159,0.888268156424581,10,0,0,0,0,0
68,1240743583860195328,41743,184932,celebrities making singing videos as corona virus now tops over 230k cases worldwide URL,109,88,0.8073394495412844,4,0,0,0,0,1
69,1240859409397547010,37637,213853,"every senator that did insider trading after that covid-19 briefing should immediately resign. yes, that applies to both parties.",130,129,0.9923076923076923,8,0,0,0,0,0
70,1240722087381262337,40808,109877,ice pretended to be doctors. there are no fucking words. please donate if you can,81,81,1.0,5,0,0,0,0,1
71,1240729932948439045,34080,166440,bro idk what’s going on but i agree with them. fuck mini coopers. small ass cars always looking like a parking spot until you get closer.,137,137,1.0,4,0,0,0,0,0
72,1242493913337913345,44634,228529,our medical professionals are heroes putting their lives on the line to keep our country going. here's a look at how an er doctor who already fought on the front lines of one crisis makes it through a day in this one. a good reminder for us to help them out by staying home.,274,274,1.0,5,0,0,0,0,0
73,1241512518721376257,33729,168767,"president of slovakia showing up in her corona drip, hand-tailored matching fabric surgical masks..... impeccable URL",137,117,0.8540145985401459,6,0,0,0,0,1
74,1240328267472740352,38886,135450,this episode of black mirror is too fucking long,48,48,1.0,3,0,0,0,0,0
75,1240353157693177858,50505,211422,this is for corona you big fat white nasty smelling fat bitch why you took me off the motherfuckin schedule with your trifflin dirty white racist ass you big fat bitch oompa loompa body ass bitch i'm coming up there and i'm gonna beat the fuck out of you bitch,261,260,0.9961685823754789,9,0,0,0,0,0
76,1241951568855019521,28990,59808,bro these the only 3 songs i’m hearing on my tl lord take this corona away now! URL,105,83,0.7904761904761904,8,0,0,1,1,0
77,1240709511226077186,37173,31793,"not all heroes wear capes, sometimes they just wear blanket then netflix n chill for 2 weeks",92,92,1.0,1,0,0,0,0,0
78,1241052280452833281,33123,39342,its always the comfortable spots hits 3g,42,40,0.9523809523809523,1,0,0,0,0,0
79,1241836135195828225,25714,137925,me to corona after finding out she infected harvey weinstein URL,84,64,0.7619047619047619,6,0,0,0,0,0
80,1240906846933790720,26210,123968,"germany is conducting 160k covid-19 tests a week. it has a total 35k ventilators, 10k ordered to be made by the govt. it has converted a new 1k bed hospital in berlin. it’s death rate is tiny bcos it’s mass testing allows quarantine and bcos it has fewer non reported cases.",276,274,0.9927536231884058,6,0,0,0,0,1
81,1240858151211028480,31799,48018,people after the covid-19 quarantine : URL,63,42,0.6666666666666666,6,0,0,0,0,0
82,1242540756209774592,23974,54362,"breaking: a child under the age of 18 has died of coronavirus in los angeles, public health officials announce, in what is believed to be the first child death from the virus in the us. “a devastating reminder that covid-19 infects people of all ages,” la health official says.",278,277,0.9964028776978417,14,0,0,0,0,1
83,1242458760364175360,26852,91724,addressing the nation on battling the covid-19 menace. indiafightscorona URL,97,76,0.7835051546391752,15,0,0,0,0,0
84,1240647292543262721,27888,156943,y’all dirty mfs brought corona home from miami &amp; now it’s increased by 88% in 48hrs ....,92,92,1.0,5,0,0,0,0,1
85,1240596164178657280,66217,226249,everyone coming out of corona as barista,40,40,1.0,0,0,0,0,0,0
86,1242228808264155138,24570,99828,".@realdonaldtrump just said: “if it were up to the doctors, they'd shut down the entire world.” actually, if it were up to us, we'd save as many people as possible. we would follow the science &amp; evidence. we would never put politics ahead of the public's health covid19",274,273,0.9963503649635036,3,0,0,0,0,1
87,1241924168263897089,24622,169922,"one of my coworkers died today from covid19. not much older, great guy. we were just sitting together a couple weeks ago, talking about whatever. the next time i saw him, he was admitted to the icu. and that was the last time i saw him. my whole body feels numb.",266,262,0.9849624060150376,16,0,0,0,0,1
88,1241019106771558401,23540,170999,if you told me on new years that within 3 months of 2020: -kobe bryant is dead -we’d be quarantined from covid-19 -schools and sports are shut down -tom brady is a tampa bay buccaneer i would’ve legitimately thought the world was ending.,270,237,0.8777777777777778,18,0,0,0,0,1
89,1241566743815913472,32185,26351,"ya allah, you already gave them huge test much more than us around the globe. if this is for their own good, provide them strength to go through it.",151,148,0.9801324503311258,3,0,0,0,0,0
90,1242195174257819651,24416,185999,"one day, if he wants, and when all this is over, i would like to practice my freeckicks with him on goal! what do you think?",126,124,0.9841269841269841,3,1,1,1,1,0
91,1242282560106958854,23051,77230,thread: there’s a strong and understandable desire to return to better times and a functioning economy. but it should not be lost on anyone that there's no such thing as a functioning economy and society so long as covid-19 continues to spread uncontrolled in our biggest cities.,279,279,1.0,8,0,0,0,0,0
92,1241904709583155206,20618,63644,"mitch abandoned bipartisan work on the covid-19 bill, then tried to pass a no-strings attached corporate bailout that didn't sufficiently help health care workers, first responders, and working class families. focus on the people, @senatemajldr, not wall street.",262,262,1.0,15,0,0,0,0,1
93,1242414406203371520,35817,69370,"trigger warning. this man was too afraid he’d infect his family and thought he wouldn’t get proper treatment because they’re poor so he just took his own life. the government needs to assure filipinos that when they got the virus, they can go to a hospital &amp; be treated for free!",284,283,0.9964788732394366,96,0,0,1,1,0
94,1240681203449114630,24529,263209,"this is my mom. she’s my hero. she’s a 60 year old primary care physician testing patients for covid19. she is putting her health on the line to test patients, get them the care they need, and do what she can to prevent community spread and the overburdening of our hospitals. URL",301,280,0.9302325581395349,12,0,0,0,0,1
95,1241052755793412096,22251,32372,exactly one month ago italy found its first case of coronavirus. i’ll tell you what happened in only one month. i hope you can learn from our mistakes.,152,151,0.993421052631579,4,0,0,0,0,1
96,1241789646037602307,26147,57268,this is ritm director dr. celia carlos who was allegedly unjustly removed from her position because she refused to prioritize the processing of covid-19 tests of asymptomatic politicians and other vips over patients with symptoms. respect! justicefordrcarlos notoviptesting URL,299,277,0.9264214046822743,36,0,0,1,1,1
97,1240810734315024386,9861,23613,"to be clear, sen loeffler not only dumped stock, illegally using non-public information (allegedly), she used the proceeds to buys stock in a teleworking software company, profiting off the covid19-induced collapse of the economy.",231,230,0.9956709956709957,27,0,0,0,0,1
98,1241125126340595712,6374,21527,"texas, ny, &amp; cali are the 3 largest states. cuomo &amp; newsom are aggressive, *knowing* what's to come. in texas, greg abbott is “fake coughing” to a reporter's questions, and sen cornyn is tweeting corona beer pics 2 weeks from now my state will be a dystopian rodeo. book it.",286,282,0.986013986013986,14,0,0,0,0,1
99,1241119424729559041,5515,9937,"i hear unfounded rumors about nationalguard troops supporting a nationwide quarantine. let me be clear: there has been no such discussion. ... for news about the great work the guard is doing to support the covid_19 response, click the link. covid19 URL",278,253,0.9100719424460432,21,0,0,0,0,1
100,1241421603575119874,6734,16866,friends. the stuff about nature healing and wildlife returning because of covid-19 is fake. URL,115,95,0.8260869565217391,16,0,0,0,0,1
101,1241184976974077953,5609,6744,"due to the large amount of speculation regarding covid19, this is a reminder to rely on official sources for accurate information. help control the spread of rumors by sharing this page: URL URL",239,194,0.8117154811715481,28,0,0,0,0,0
102,1241111496039546882,4061,12642,"be vigilant for misinformation, rumors, and factual errors. go to trusted sources for information about covid19! URL",137,116,0.8467153284671532,11,0,0,1,1,0
103,1242428305359462400,4577,12164,"reminder that two republican senators were implicated this weekend in an insider trading scandal, selling millions in stock while telling voters covid-19 was a hoax. neither republican has resigned.",200,198,0.99,9,0,0,0,0,1
104,1242223348236550147,5425,8636,fox news claims it never called covid-19 a hoax. let's check the receipts. URL,98,78,0.7959183673469388,11,0,0,0,0,1
105,1241923572144074754,3802,13845,remember when the chairman of the senate intelligence committee enriched himself through stock trades off of inside information about the danger of covid-19 while his party told people it was a hoax to get trump?,212,212,1.0,12,1,1,0,0,1
106,1242061429789909001,3787,4480,"voice notes, broadcasts &amp; images are being shared on whatsapp and other platforms with fake news these messages are developed with the intent to cause fear &amp; panic please disregard messages that are not signed by official sources URL covid19 URL",296,253,0.8547297297297297,22,0,0,0,0,1
107,1240683310717661184,8069,47279,"gee, if covid-19 isn’t a hoax after all, is it possible climate change isn’t either? should we perhaps learn something from this crisis, believe scientists, and avoid getting caught flat-footed next time?",204,204,1.0,7,1,2,0,0,0
108,1240736835732717571,3879,5161,"at 8:00 pm today local time in wuhan. see how few lights there are? one can fake the numbers, but can’t fake the fact that only a few apartments are still lit up. where have people gone? ccpvirus covid19on coronavirus URL",246,221,0.8983739837398373,21,1,2,0,0,0
109,1241497054817509376,3475,8688,this is unbelievable. it reportedly took macron's threat to close the uk border for boris johnson to finally shutdown bars and restaurants. the elysee refers to uk policy as 'benign neglect'. this failure of leadership is costing lives.,236,236,1.0,12,0,0,0,0,1
110,1241898619965509637,3043,9658,things the gop has done during the covid-19 outbreak: - illegally traded stocks - called it a hoax - blamed it on china - tried to bailout big business without conditions what they haven’t done: - help workers - help small businesses - produced enough tests or ventilators,280,272,0.9714285714285714,14,0,0,0,0,1
111,1242212614610051075,2251,4377,"breaking: @mbuhari’s chief of staff, abba kyari, reportedly sick, suspected of contracting coronavirus | sahara reporters a top government source told sr on monday that kyari has been seriously “down” since returning from a trip abroad. read more: URL URL",296,255,0.8614864864864865,42,0,0,0,0,1
112,1241782106646249474,2564,7509,3/16: ron paul publishes article calling corona a hoax 3/22: ron paul's son tests positive for corona URL,125,105,0.84,2,0,0,0,0,1
113,1242292061925076997,2111,6049,"rumours are no less infectious than coronavirus ! this looks like a meticulous list, but a fake one too! please note that no such directions have been given by @cpmumbaipolice . in case of any doubt, please dial100 or tweet to us! takingoncorona URL",272,249,0.9154411764705882,18,0,0,1,3,0
114,1240808335349342208,3342,5667,"as we saw over the wkend, disinfo is being spread online about a supposed national lockdown and grounding flights. be skeptical of rumors. make sure you’re getting info from legitimate sources. the @whitehouse is holding daily briefings and @cdcgov is providing the latest.",273,273,1.0,6,0,0,0,0,1
115,1241770683090206721,3393,14163,".@realdonaldtrump, dear lord—please step up and be a leader. while you have been yammering about hoaxes and fake news, the covid-19 pandemic has hit all over america. @govpritzker and others have filled this country’s leadership gap. lead or get out of their way.",263,263,1.0,13,0,0,0,0,1
116,1240453761434148864,10315,44955,"sorry, there is no coming back from saying this was all a “hoax.” i don't give a fuck about “change of tone,” “change of heart,” nothing. you mutha fuckers took a serious situation and endangered all just to defend a bigot. fuck you. not sorry. coronavirus",262,256,0.9770992366412213,8,0,0,0,0,0
117,1241935299833253891,1558,6216,delhi police has registered a case under section 509 of the indian penal code against a man who allegedly spat on a woman belonging to manipur and called her “corona” in vijay nagar area of north delhi last night. URL,237,217,0.9156118143459916,14,0,0,0,0,1
118,1242115593383247873,1763,4492,"fake news peddler dhruv rathee had said: “corona virus won't spread outside china, we need not worry” has this guy ever spoke something sensible? URL",171,149,0.8713450292397661,11,1,1,0,0,1
119,1241842361472294915,1656,1860,this photo circulating about a case of covid19 in kano allegedly reported by @bbcworld is false this image has been doctored to spread fear and panic details on confirmed cases can be found via URL factsnotfear covid19nigeria URL,275,229,0.8327272727272728,34,0,0,0,0,1
120,1241962722008465408,1678,2704,"sen. rand paul, the guy who opposed the coronavirus relief bill and paid sick leave, tested positive on march 22 and is on paid sick leave his father, and former congressman, ron paul, published an essay titled “the coronavirus hoax” on march 17. hypocrisy infects from the root URL",304,282,0.9276315789473685,30,0,0,0,0,1
121,1242143473710448640,1682,2808,"never forget.. when india was fighting corona, pigs like @vinodkapri were sharing fake news to create panic for congress propaganda. there's no shortage of ppes. assam medical college students were testing ppes as what can be used if shortage occurs. URL",277,254,0.9169675090252708,24,0,0,0,0,1
122,1241356310555361280,1677,4067,"fox news put their viewers at risk by making them believe the covid-19 pandemic was a hoax. those viewers then put the entire us population at risk, and many people have lost their lives. fox news should face a class action lawsuit to hold them responsible. foxclassaction",279,272,0.974910394265233,21,0,0,0,0,0
123,1238869710046777344,42644,309015,this isn’t a conspiracy tweet but i really think covid-19 has been here in america for awhile. do you guys remember how sick everyone was during the holidays/early january? and how everyone was saying they had the “flu” and the flu shot “didn’t work”?,251,251,1.0,11,1,2,0,0,0
124,1241134916441722882,1457,2211,fox news claims it never called covid-19 a hoax. let's check the receipts. URL,98,78,0.7959183673469388,14,0,0,0,0,1
125,1242397688961753088,1790,1799,"if u love humanity, then pl stop forwarding any fake msg abt hantavirus to avoid panic, when we already hv enough to fight wid coronavirus. hanta virus spreads only from an infected animal's urine,faeces or saliva. pl educate yourself &amp; rt for others to understand. nofakenews URL",308,284,0.922077922077922,16,0,0,0,0,1
126,1240810239101935616,1530,2462,outside of chicago just now coronavirus forcedisolation militarytrain notahoax URL,107,82,0.7663551401869159,7,0,0,0,0,0
127,1242393469001150466,1565,2847,"coronavirus: altnews founder, shekhar gupta and others spread unverified claims by a fake twitter account URL",130,109,0.8384615384615385,10,0,0,0,0,1
128,1241117279556902914,1210,2406,a message from the ministry of information “the general public is hereby urged to disregard any voice note circulating on whatsapp that a helicopter will spray ‘antivirus’ throughout the nation by 11:00 pm. this news is fake and should be disregarded in its entirety.” rt covid19,280,279,0.9964285714285714,17,0,0,0,0,1
129,1241930121570742272,1291,5415,@realdonaldtrump @nytimes @washingtonpost “we are desperate”: 10 nurses &amp; doctors explain what it's like to fight covid19 without enough face masks. how do i know this isn't fakenews? because my kid is an icu nurse in ca. they haven't had enough n95masks from the very start. getmeppe 1/ URL,323,295,0.913312693498452,55,1,1,0,0,0
130,1242443595673522177,1589,3542,- create a fake account - tweet fake news - pidi journalists will rt &amp; quote rt - then the original pidi will quote rt - create panic - say sorry - deactivate the account URL,199,178,0.8944723618090452,21,0,0,0,0,0
131,1242626001479372806,1415,3211,the chinese communist party suppressed information about the covid19 outbreak from the world for political purposes. rather than take accountability they are actively pushing a conspiracy theory propaganda campaign against the united states. : @axios / @hbo URL,284,261,0.9190140845070423,16,0,0,0,0,1
132,1240942776629354496,1960,1352,top covid19-facepalm doctor nominees 1 dr ht ong.cardiologist penang. lawan city council enforcer sebab nak exercise masa mco 2 dr adham. minum air panas untuk bunuh. fake info. pseudoscience false reassurance 3 dr osman. refuse testing. infect everyone around him ongoing list URL,304,281,0.9243421052631579,54,0,0,0,0,0
133,1241616962045636608,958,3162,[tweeting again with detail in single tweet so no alarm] just in: 38-yr-old covid19 positive man dies in patna. had serious kidney problems that let to renal failure shortly after returning from qatar. makes this 1st ‘virus-linked’ death of someone who isn’t a senior citizen.,279,276,0.989247311827957,12,0,0,0,0,1
134,1241899861403983880,1215,2662,"fearmongering pharmafauci - who built his entire career on the bogus hiv-aid$ causality by pushing a fakescience of the immune system &amp; imperial control of servile academics, now thinks he’ll get away with this current scam upon a petrified coronavirus american public. not!",284,278,0.9788732394366197,23,0,0,1,1,1
135,1241253205406822400,1187,1285,"“nobody wants to go close to me.” after nigeria recorded its first positive covid19 case, a story went viral on social media. it claimed the patient's taxi driver was demanding a payment not to spread the disease. the story was fake, but the impact on jude has been very real. URL",302,280,0.9271523178807947,18,0,0,0,0,1
136,1241836819362299906,1168,4371,"shout out to @gavinnewsom &amp; @nygovcuomo! this is what real leadership looks like. they are kicking ass &amp; doing so w/ empathy &amp; respect, taking care of our citizens while trump is trying to make us believe he changed his mind about calling the coronavirus a hoax!",275,274,0.9963636363636363,11,0,0,1,2,0
137,1242505023600447491,1323,3875,trump's timeline of handling the corona crisis: one month ago: it's a hoax. way overblown. two weeks ago: this is serious. we must take action to prevent its spread. this week: ehhhh on second thought maybe a million or so americans dying isn't *that* bad,260,255,0.9807692307692307,7,0,0,0,0,1
138,1242115861114163201,1324,1759,"know the facts about covid19. don’t share rumors &amp; unintentionally spread misinformation. federal, state &amp; local governments are posting current and accurate information. for help in distinguishing rumor from fact, see @fema coronavirus rumor control: URL URL",308,267,0.8668831168831169,24,0,0,0,0,1
139,1241774256511385602,6755,12000,"patients with covid19 have reportedly had mild to severe respiratory illness. symptoms include fever, cough, or shortness of breath. learn more about covid-19 symptoms: URL URL",217,176,0.8110599078341014,18,0,0,0,0,1
