,text,labels
12,मेरी माँ ने व्हाट्सएप विश्वविद्यालय से कोरोना वायरस पर पीएचडी की है,1
13,उसने अमीर दोस्तों को बताया। फिर स्टॉक में एक शांत $ 1.4m को भुनाया। फिर कोविद -19 राहत बिल को फिर से वोट दिया। उसे जाने की जरूरत है,1
14,"भविष्य का पोता: ""अरे दादाजी एक कोरोना चाहते हैं?"" मुझे: URL",0
15,कोरिया ने 10 मिनट के कोविद -19 डायग्नोस्टिक किट को विकसित किया और अब उत्पादन शुरू कर रहा है। वे प्रति सप्ताह 300.000 परीक्षण-किट निर्यात करने की योजना बनाते हैं - URL,1
16,"बीस आत्महत्या, covid-19 हे, इसलिए, उम, अभी कमरे में एक बड़ा हाथी है। covid अभी एकमात्र महामारी नहीं है - और यह एक बुरे, बुरे समय पर आया है। ऐसा नहीं है कि कोई अच्छा समय है। एक मानसिक स्वास्थ्य महामारी हो रही है, और हम देखने वाले हैं-",1
17,सेलेब्रिटी वायरस को दूर भगाने की कोशिश करते रहते हैं जैसे कि यह कोई डिज्नी फिल्म हो या कुछ और,0
18,शायद अगर मैं कोविद -19 के लिए भावनाओं को विकसित करता हूं तो यह निकल जाएगा,0
19,"तीन: मैं ज्यादातर फिल्मों के बारे में यहां बात करता हूं, लेकिन यहां जाता है। वर्तमान में हम केवल कम आपूर्ति में सर्जिकल मास्क और अन्य चिकित्सा वस्त्र बनाने के लिए अपने कारखाने को पिवट कर रहे हैं। हम एक दिन में 2 मिलियन मास्क बना सकते हैं, और इस दौरान किसी भी तरह से मदद करना चाहते हैं।  covid19 URL",1
20,मेरे आदमी हाउस गुरुवार को 6 वकोडिन को पॉप करेगा और शनिवार सुबह तक इसका इलाज होगा।,0
21,"मैंने लगभग सब कुछ ठीक किया। घर पर काम किया। पिछले 10 दिनों में एक दोस्त देखा। एक पब के बाहर एक घंटे के लिए एक बीयर था, एक बड़ी मेज के दोनों ओर। ताजा हवा, कोई संपर्क नहीं। 3 बार मेरे हाथ धोए। फिर भी उससे कोरोना पकड़ा। इस बात को लेकर चुदाई मत करो।",1
22,"मुझे समझ में नहीं आता है कि कैसे mcdonalds हर साल दो बिलियन हैम्बर्गर की सेवा कर सकते हैं, लेकिन जब मैं ड्राइव पर पाँच मिलियन का आदेश देता हूं तो यह सिस्टम को भारी कर देता है",0
23,ब्रो चीन यहाँ niggas बिजली के स्तर को पढ़ने के बाहर है और हम पर्याप्त परीक्षण भी नहीं कर सकते,0
24,"जब यह कोरोना शिट खत्म हो जाता है तो कृपया मुझे आमंत्रित करें। मुझे पता है कि मैं कभी-कभी भड़क जाता हूं, लेकिन मेरी गांड बाहर आने वाली है जो मैं वादा करता हूं",0
25,"आप अपने पूर्व को याद नहीं करेंगे, मैं कोरोना वायरस के बिना जीवन को याद करता हूं",0
26,"""मैंने उसे रोका और कहा, 'देखो, यह एक फिल्म नहीं है। आई विल लीजेंड में आप विल स्मिथ नहीं हैं। घर जाओ।"" यह इतालवी मेयरों का अद्यतन संकलन है जो इसे  covid19 संगरोध का उल्लंघन करने वाले लोगों पर खो रहा है। हां, उपशीर्षक सटीक हैं। URL",0
27,"कृपया हाइड्रोक्सीक्लोरोक्वीन (प्लाक्वेनिल) प्लस अज़िथ्रोमाइसिन को  covid19 unless के लिए न लें क्योंकि आपका डॉक्टर इसे निर्धारित करता है। दोनों दवाएं आपके हृदय के क्यूटी अंतराल को प्रभावित करती हैं और अतालता और अचानक मृत्यु का कारण बन सकती हैं, खासकर यदि आप अन्य मेड ले रहे हैं या हृदय की स्थिति है।",1
28,दिन 5: हमने खेती को फिर से शुरू किया है,0
29,यह कोरोना वायरस अप्रैल के मध्य तक गुजर जाएगा !! इसे अस्तित्व में बोलना,1
30,समर्थन और प्रोत्साहन के आपके अविश्वसनीय संदेशों के लिए आप सभी का धन्यवाद। asked आपमें से कई लोगों ने पूछा कि ईआर में अभी ऐसा क्या था। मैं आपके साथ थोड़ा सा साझा करना चाहता हूं। कृपया rt: ईआर डॉक के जीवन में एक दिन -  covid19 फ्रंटलाइन से संक्षिप्त विवरण:,0
31,"मेरे साथी नागरिकों, वहाँ दहशत की जरूरत नहीं है। आवश्यक वस्तुएं, दवाएं आदि उपलब्ध होंगी। केंद्र और विभिन्न राज्य सरकारें इसे सुनिश्चित करने के लिए निकट समन्वय में काम करेंगी। साथ मिलकर, हम covid -19 से लड़ेंगे और एक स्वस्थ भारत बनाएंगे। जय हिन्द!",1
32,कुत्तों को जब पता चला कि वे अपने मालिकों को कोरोना वायरस के कारण नहीं छोड़ सकते हैं URL,0
33,नहीं .. एक ... गैस्टन की तरह गैस्ट्रोन संगरोध की तरह साफ करता है कोई भी गैस्टोन की तरह covid-19 फैलाना बंद कर देता है,1
34,"यही कारण है कि फ्लोरिडा में समुद्र तट बंद नहीं हुए हैं, और उनके पास न्यूनतम सीओवीआईडी ​​-19 की रोकथाम क्यों है। पूर्ण शिथिलता। URL",1
35,"मेरी नई पसंदीदा चीज़ इटालियन मेयरों और क्षेत्रीय राष्ट्रपतियों की संगति का उल्लंघन करने वाले लोगों पर losing it है। यहाँ एक संलग्न उपशीर्षक संकलन है। ""मैंने सुना है आप स्नातक पार्टियों फेंकना चाहते हैं। मैं पुलिस को भेजने वाला हूं। फ्लेमेथ्रो के साथ। ”  covid19 coronavirus URL",0
36,"covid-19 अंत में, एक नर्स से कुछ समझदार सलाह “मैंने जो बहुत कुछ देखा है, उसके लिए सिफारिशें हैं कि पहली जगह में कोरोनोवायरस से बचने की कोशिश कैसे की जाए - अच्छा हाथ धोना, व्यक्तिगत स्वच्छता और सामाजिक दूरी - लेकिन मेरे पास क्या है नहीं देखा है के लिए सलाह की एक बहुत कुछ है ...",0
37,"कोरोना वायरस वास्तविक नहीं है, सरकार सिर्फ दो सप्ताह के अंदर सभी को चाहती है ताकि वे पक्षियों में बैटरी बदल सकें।",1
38,संगरोध के दिन 6: मेरे पिताजी ने कोविद -19 ine URL के बारे में बिल्लियों से बात की,0
39,"यह जेनरेशन जेड है। मैं इसका नाम देना चाहता हूं क्योंकि लोग हर किसी को 40 और मिलेनियल्स के तहत प्यार करते हैं। मिलेनियल्स स्प्रिंग ब्रेक पर नहीं हैं। मिलेनियल्स अपने बुमेर माता-पिता के घर पर चिल्ला रहे हैं जो अभी भी नहीं बैठे हैं क्योंकि उन्हें ""भय पर विश्वास"" है।",1
40,"""हे लोग खुश संगरोध। कोरोना वायरस एक वास्तविक चीज है। "" वाह, मुझे पता नहीं था! धन्यवाद काइली! URL",0
41,"विश्व स्वास्थ्य संगठन युवाओं को चेतावनी देता है: ""आप अजेय नहीं हैं।"" covid-19 आपको हफ्तों तक अस्पताल में रख सकता है, या आपको मार भी सकता है। यहां तक ​​कि अगर आप बीमार नहीं पड़ते हैं, तो आपके द्वारा चुने गए विकल्प आपके किसी और के लिए जीवन और मृत्यु के बीच अंतर हो सकते हैं। ”",1
42,इस आदमी अस्पताल बिल इतना होने के लिए डटकर।,1
43,स्पेन के एक अस्पताल का वीडियो। इस पर नजर रखें। वॉल्यूम के साथ इसे फिर से देखें। अब उस ब्रंच को रद्द करें। उस कॉफी को स्थगित कर दें। बारिश की जाँच करें कि रात का खाना दोस्तों के साथ। बेकार है ना? लेकिन इस covid cor 19 coronavirus stayathome URL जितना कठिन नहीं है,0
44,जब आप एक गोलकीपर ... और एक अकेला बच्चा ... आत्म अलगाव में ... और अपने प्रशिक्षण के साथ बनाए रखने की कोशिश कर रहे हैं ... खुद के साथ इस तरह से! मैं बहुत प्रभावित हूं। coronavirus stayhomestaysafe URL,0
45,"कोविद -19 बड़ा हो सकता है, लेकिन मैं सिर्फ याद दिलाना चाहता हूं कि हमारा भगवान bigger. है",0
46,सीडीसी ने सिर्फ घोषणा की कि कोरोना को इंस्टाग्राम स्टोरी चुनौतियों के माध्यम से फैलाया जा सकता है: - /,1
47,"केटी पोर्टर की बहन, एक डॉक्टर, तोड़ रही है कि कैसे covid-19 संकट के दौरान जान बचाई जा सकती है URL",1
48,"कार्डी की आवाज में ""कोरोना वायरस"" को कोई और ही बेतरतीब ढंग से चिल्लाता है?",0
49,"इन श्रमिकों को नागरिकता की स्थिति की परवाह किए बिना सुरक्षा, स्वास्थ्य देखभाल और बीमार वेतन की आवश्यकता है। उनकी सेवाएं essential हैं और इस मुद्दे पर अधिक आक्रामक संवाद करने की आवश्यकता है। क्या होगा कि वे जीवन की तरह है? मैं जानना नहीं चाहता!",0
50,मुझे: h- व्हाट्सएप थ्रेड से स्नातक होने के बाद कोरोना वायरस में उसकी माँ के साथ मेरी माँ: URL,0
51, covid19 को एक-दूसरे की निगाह से दूर करने के लिए बीटीएस के संदेश को देखें। हम संदेश जारी रखने के लिए सोन हेंग-मिन को आमंत्रित करते हैं! URL stayconnected staystrong_army  y _ y  y  y y y y y ts btslovemyself endviolence,0
52,श्वेत लोग: covid-19 ब्लैक फोल्क्स: रोन गे लोग: मिस रोना id,0
53,कोरोना सिस आपके द्वारा छोड़ना सही हो सकता है? URL,0
54,वाह ... आज सुबह .... कभी नहीं देखा वेगास tbh से पहले यह खाली coronavirus URL,0
55,"एक बुरा फ्लू था जो दिसंबर / शुरुआती जनवरी में गोल हो गया था। मैं आपको बता रहा हूं, यह कोरोना था। नंगे पीएल बीमार थे (मेरे सहित) जो अब हम कोरोना के लक्षणों के रूप में जानते हैं, इसकी शिकायत करते हैं।",1
56,"इसलिए, सब कुछ covid-19 को चोदने के कारण, मैंने सोचा कि 'हमारे पास ट्विटर प्रॉम क्यों नहीं है?' तो, आगे की हलचल के बिना, मैं आपको अपने सभी ट्विटर प्रोम पर आमंत्रित करता हूं! आप किसी को एक दोस्त या एक साथी के रूप में आपके साथ जाने के लिए कह सकते हैं। प्रॉम का आयोजन 25 मार्च को होगा। शामिल होने के लिए बातचीत करें!",0
57,फ़ौजी का नौकर अब तालियाँ बजा रहा है। टाइम्स कठिन है।,0
58,इस से यह URL,0
60,चीन में इटली से 24 गुना ज्यादा लोग हैं ...,1
61,"यह सब खत्म हो जाने के बाद, भविष्य के जॉब इंटरव्यू में कृपया याद रखें कि यह पूछने के लिए कि उनकी कंपनी ने वैश्विक covid-19 स्थिति के संबंध में अपने कर्मचारियों की सुरक्षा के लिए क्या किया है। स्वच्छंद कंपनियों के लिए काम नहीं कर सकते।",0
62,15 साल पहले मेरे फ्लिंटस्टोन्स गमियों से लड़ने वाले कोरोना URL,1
63,आइसलैंड ने अपनी संपूर्ण जनसंख्या का परीक्षण किया। इसे फिर से पढ़ें: its entire population,1
64,लेकिन कुतिया ने कहा- URL,0
65,"नमस्ते। हां, यह चीन में उत्पन्न हुआ है, लेकिन तकनीकी शब्द कोविद -19 है आपकी माँ की उत्पत्ति बुइक स्काईलार्क के पीछे से हुई है, लेकिन हम उसे जूडिथ नहीं कहते हैं।",1
66,डोमिनिकन रिपब्लिक को कोविद -19 .co URL का इलाज मिला,1
67,क्या आपके पास गमियां थीं? मैं उस शुद्ध रॉक को खा रहा था जिसे हमने नहीं बनाया था,0
68,"महामारी विज्ञानियों ने चेचक को मिटाने में मदद करने वाले ट्रम्प का कहना है कि ट्रम्प का covid-19 को जल्दी संभालना ""एक निर्वाचित अधिकारी का सबसे गैर जिम्मेदाराना कार्य है जिसे मैंने अपने जीवनकाल में कभी देखा है।"" URL",1
69,"आने वाले हफ्तों में covid-19 के खिलाफ लड़ाई के लिए हमें कैसे दृष्टिकोण की जरूरत है, इस पर सार्वजनिक स्वास्थ्य विशेषज्ञों के बीच वर्तमान में सबसे अच्छी सोच का एक उपयोगी सारांश है। URL",0
70,दुनिया भर में 230k मामलों में अब कोरोना वायरस के रूप में गायन वीडियो बनाने वाली हस्तियां URL,1
71,"प्रत्येक सीनेटर जिसने covid-19 ब्रीफिंग के बाद इनसाइडर ट्रेडिंग किया था, उसे तुरंत इस्तीफा दे देना चाहिए। हां, यह बात दोनों पक्षों पर लागू होती है।",0
72,ice ने डॉक्टर बनने का नाटक किया। कोई कमबख्त शब्द नहीं हैं। कृपया दान करें अगर आप कर सकते है तो,1
73,bro idk क्या चल रहा है लेकिन मैं उनसे सहमत हूं। भाड़ में जाओ मिनी कूपर्स। छोटी गधा कारें हमेशा पार्किंग स्थल की तरह दिखती हैं जब तक कि आप करीब नहीं पहुंच जाते।,0
74,"हमारे चिकित्सा पेशेवर हमारे देश को बनाए रखने के लिए अपनी जान की बाजी लगा रहे हैं। यहां एक नज़र है कि कैसे एक ईआर डॉक्टर जो पहले से ही एक संकट के सामने की तर्ज पर लड़ता था, उसे इस एक दिन में एक दिन के माध्यम से बनाता है। हमारे लिए एक अच्छा अनुस्मारक घर में रहकर उनकी मदद करना है।",0
75,"प्रिय अल्लाह, कृपया हर कीमत पर गाजा की रक्षा करें",0
76,"स्लोवाकिया के राष्ट्रपति ने अपने कोरोना ड्रिप, हाथ से सिलवाए गए मैचिंग कपड़े सर्जिकल मास्क में दिखाए ..... त्रुटिहीन URL",1
77,ब्लैक मिरर का यह एपिसोड बहुत लंबा है,0
78,"यह कोरोना के लिए है आप बड़े मोटे सफेद गंदे बदबूदार मोटे कुतिया क्यों आप मुझे अपने ट्राइफ्लिन गंदे सफेद नस्लवादी गधे के साथ मदरफुकन शेड्यूल से दूर ले गए हैं, आप बड़े मोटे कुतिया ओम्पा लूमपा शरीर गधा कुतिया मैं वहां आ रहा हूं और मैं बकवास को हरा रहा हूं आप में से कुतिया",0
79,ब्रो ये केवल 3 गाने मैं अपने टी एल पर सुन रहा हूँ take प्रभु अब इस कोरोना को दूर ले जाओ! URL,0
80,"सभी नायक टोपी नहीं पहनते हैं, कभी-कभी वे केवल 2 सप्ताह के लिए कंबल और फिर नेटफ्लिक्स एन चिल पहनते हैं",0
81,इसके हमेशा आरामदायक स्पॉट 3g always को हिट करते हैं,0
82,कोरोना करने के बाद मुझे पता चला कि वह संक्रमित है वींस्टीन URL,0
83,"जर्मनी सप्ताह में 160k कोविद -19 परीक्षण कर रहा है। इसमें कुल 35 k वेंटिलेटर हैं, 10k को सरकार द्वारा बनाने का आदेश दिया गया है। इसने बर्लिन में एक नया 1k बिस्तर अस्पताल बदल दिया है। यह मृत्यु दर है छोटे बीकोस इसका सामूहिक परीक्षण क्वारंटाइन की अनुमति देता है और यह कम गैर-रिपोर्ट किए गए मामलों को भी सेंसर करता है।",1
84,कोविद -19 संगरोध के बाद लोग: URL,0
85,"ब्रेकिंग: लॉस एंजिल्स में 18 साल से कम उम्र के एक बच्चे की मौत हो गई है, सार्वजनिक स्वास्थ्य अधिकारियों ने घोषणा की है कि अमेरिका में वायरस से पहली बच्चे की मौत माना जाता है। ""एक विनाशकारी अनुस्मारक है कि covid -19 सभी उम्र के लोगों को संक्रमित करता है,"" एलए स्वास्थ्य अधिकारी कहते हैं।",1
86,covid-19 खतरे से जूझ रहे राष्ट्र को संबोधित करते हुए। indiafightscorona URL,0
88,कोरोना से बाहर आने वाले सभी लोग बरिस्ता के रूप में,0
90,"मेरे एक सहकर्मी की आज  covid19 से मृत्यु हो गई। ज्यादा उम्र वाला नहीं, महान लड़का। हम अभी कुछ हफ़्ते पहले एक साथ बैठे थे, जो भी बात कर रहे थे। अगली बार जब मैंने उसे देखा, तो वह आईसीयू में भर्ती था। और आखिरी बार मैंने उसे देखा था। मेरा पूरा शरीर सुन्न सा लगता है।",1
91,"अगर आपने मुझे नए साल पर बताया कि 2020 के 3 महीने के भीतर: -कोयब ब्रायंट मर चुका है, तो हमें covid-19 से बचा लिया जाएगा -स्कूल और खेल बंद हैं -टोम ब्रैडी एक टाम्पा बे बुकेर है जिसे मैंने वैध रूप से सोचा होगा दुनिया खत्म हो रही थी।",1
92,"फिर अल्लाह, आपने पहले से ही उन्हें दुनिया भर में हमसे कहीं अधिक विशाल परीक्षा दी। यदि यह उनके अपने हित के लिए है, तो उन्हें इससे गुजरने की शक्ति प्रदान करें।",0
93,"एक दिन, अगर वह चाहता है, और जब यह सब खत्म हो जाता है, तो मैं लक्ष्य पर उसके साथ अपनी फ्रीकिक्स का अभ्यास करना चाहूंगा! तुम क्या सोचते हो?",0
94,थ्रैड: बेहतर समय और कार्यशील अर्थव्यवस्था पर लौटने की एक मजबूत और समझदार इच्छा है। लेकिन यह किसी को भी खोना नहीं चाहिए कि कामकाजी अर्थव्यवस्था और समाज में ऐसा कुछ भी नहीं है जब तक कि कोविद -19 हमारे सबसे बड़े शहरों में अनियंत्रित रूप से फैलता रहे।,0
95,"मिच ने covid-19 बिल पर द्विदलीय कार्य को छोड़ दिया, फिर कॉर्पोरेट संलग्न से जुड़े एक ऐसे तार को पारित करने का प्रयास किया, जिससे स्वास्थ्य देखभाल कर्मी, प्रथम उत्तरदाताओं और श्रमिक वर्ग के परिवारों को पर्याप्त मदद नहीं मिली। people, @senatemajldr पर ध्यान दें, न कि वॉल स्ट्रीट पर।",1
97,"यह मेरी मां है। वह मेरा हीरो है। वह  covid19 के लिए 60 साल के एक प्राथमिक प्राथमिक चिकित्सक का परीक्षण कर रहा है। वह मरीजों का परीक्षण करने के लिए, उन्हें उनकी देखभाल की जरूरत है, और सामुदायिक अस्पतालों और हमारे अस्पतालों के प्रसार को रोकने के लिए वह कर सकती है जो वह कर सकता है। URL",1
98,ठीक एक महीने पहले इटली को  कोरोनोवायरस का पहला मामला मिला था। मैं आपको बताता हूं कि केवल एक महीने में क्या हुआ था। मुझे आशा है कि आप हमारी गलतियों से सीख सकते हैं।,1
99,यह आरआईटीएम निदेशक डॉ। सेलिया कार्लोस है जिसे कथित तौर पर उसके पद से हटा दिया गया था क्योंकि उसने लक्षणों के साथ रोगियों पर स्पर्शोन्मुख राजनेताओं और अन्य वीआईपी के सीओवीआईडी ​​-19 परीक्षणों के प्रसंस्करण को प्राथमिकता देने से इनकार कर दिया था। आदर करना! justicefordrcarlos notoviptesting URL,1
100,"स्पष्ट रूप से, सेन लोफ्लर ने न केवल स्टॉक को डंप किया, गैर-सार्वजनिक जानकारी (कथित रूप से) का उपयोग करते हुए, उसने एक टेलीविज़निंग सॉफ़्टवेयर कंपनी में स्टॉक खरीदने के लिए आय का इस्तेमाल किया, जिससे अर्थव्यवस्था के  covid19- प्रेरित पतन का लाभ उठा।",1
102,"मैं राष्ट्रव्यापी संगरोध का समर्थन करने वाले  राष्ट्रकुल सैनिकों के बारे में निराधार अफवाहें सुनता हूं। मुझे स्पष्ट होने दें: ऐसी कोई चर्चा नहीं हुई है। ... महान काम के बारे में खबर के लिए  covid_19 प्रतिक्रिया का समर्थन करने के लिए गार्ड कर रहा है, लिंक पर क्लिक करें।  covid19 URL",1
103,दोस्त। covid-19 के कारण लौटने वाले प्रकृति उपचार और वन्यजीवों के बारे में सामान नकली है। URL,1
104,"id  covid19 के संबंध में बड़ी मात्रा में अटकलों के कारण, यह सटीक जानकारी के लिए official स्रोतों पर भरोसा करने के लिए एक अनुस्मारक है। इस पेज को साझा करके अफवाहों के प्रसार को नियंत्रित करने में मदद करें: URL URL",0
105,"गलत सूचना, अफवाहों और तथ्यात्मक त्रुटियों के लिए सतर्क रहें।  covid19 के बारे में जानकारी के लिए विश्वसनीय स्रोतों पर जाएं! URL",0
106,"याद दिला दें कि दो रिपब्लिकन सीनेटरों को इस सप्ताह के अंत में एक इनसाइडर ट्रेडिंग घोटाले में फंसाया गया था, जो मतदाताओं को बताए कि करोड़ों में बेच रहे हैं, जबकि covid-19 एक धोखा था। न ही रिपब्लिकन ने इस्तीफा दिया है।",1
107,फॉक्स न्यूज का दावा है कि इसने covid-19 को कभी धोखा नहीं कहा। आइए रसीदों की जांच करें। URL,1
108,"याद रखें जब सीनेट खुफिया समिति के अध्यक्ष ने covid-19 के खतरे के बारे में जानकारी के अंदर स्टॉक ट्रेडों के माध्यम से खुद को समृद्ध किया, जबकि उनकी पार्टी ने लोगों को बताया कि यह ट्रम्प को पाने के लिए एक धोखा था?",1
110,"जी, अगर covid-19 सब के बाद एक धोखा नहीं है, तो क्या यह संभव नहीं है कि जलवायु परिवर्तन संभव नहीं है? क्या हमें शायद इस संकट से कुछ सीखना चाहिए, वैज्ञानिकों का मानना ​​है, और अगली बार फ्लैट-फुट पकड़े जाने से बचें?",0
111,"आज रात 8 बजे स्थानीय समय  वुहान में। देखें कि कितनी रोशनी हैं? एक संख्या को नकली कर सकते हैं, लेकिन इस तथ्य को नकली नहीं कर सकते हैं कि केवल कुछ अपार्टमेंट अभी भी जलाए गए हैं। लोग कहां गए? ccpvirus  covid19on coronavirus URL",0
112,यह अविश्वसनीय है। इसने कथित तौर पर बार और जॉनसन को बंद करने के लिए मैक्रोन की धमकी को ब्रिटेन की सीमा को बंद करने के लिए ले लिया। एलिसी यूके नीति को 'सौम्य उपेक्षा' के रूप में संदर्भित करती है। नेतृत्व की यह विफलता जीवन की लागत है।,1
113,कोविद -19 के प्रकोप के दौरान जीओपी ने जो बातें की हैं: - अवैध रूप से व्यापार किए गए स्टॉक - इसे एक धोखा कहा जाता है - इसे चीन पर दोष दिया - शर्तों के बिना बड़े व्यापार को जमानत देने की कोशिश की: उन्होंने क्या नहीं किया है: - श्रमिकों की मदद करें - अन्य व्यवसायों - उत्पादित पर्याप्त परीक्षण या वेंटिलेटर,1
114,"breaking: @ mbuhari के चीफ ऑफ स्टाफ, अब्बा क्यारी, कथित तौर पर बीमार, कॉन्ट्रैक्टिंग का शक coronavirus | सहारा रिपोर्टर्स एक शीर्ष सरकारी सूत्र ने सोमवार को एसआर को बताया कि विदेश यात्रा से लौटने के बाद से क्यारी को गंभीरता से ""डाउन"" किया गया है। read more: URL URL",1
115,3/16: रॉन पौल ने कोरोना को एक धोखा बताते हुए लेख प्रकाशित किया 3/22: रॉन पॉल के बेटे का कोरोना के लिए सकारात्मक परीक्षण URL,1
116,"अफवाहें coronavirus से कम संक्रामक नहीं हैं! यह एक सावधानीपूर्वक सूची की तरह दिखता है, लेकिन एक नकली भी! कृपया ध्यान दें कि @cpmumbaipolice द्वारा ऐसा कोई निर्देश नहीं दिया गया है। किसी भी संदेह के मामले में, कृपया  dial100 या हमें ट्वीट करें! takingoncorona URL",0
117,"जैसा कि हमने wkend के ऊपर देखा था कि, एक नेशनल लॉकडाउन और ग्राउंडिंग फ्लाइट्स के बारे में कीटाणुशोधन ऑनलाइन फैलाया जा रहा है। अफवाहों पर संदेह करें। सुनिश्चित करें कि आप वैध स्रोतों से जानकारी प्राप्त कर रहे हैं। @whitehouse दैनिक ब्रीफिंग कर रहा है और @cdcgov नवीनतम प्रदान कर रहा है।",1
118,"। @ realdonaldtrump, प्रिय प्रभु-कृपया एक कदम और आगे बढ़ें। जब आप चकमा देने और नकली समाचारों के बारे में चिल्ला रहे हैं, तो covid-19 महामारी पूरे अमेरिका में फैल गई है। @govpritzker और अन्य ने इस देश के नेतृत्व की खाई को भर दिया है। नेतृत्व या उनके रास्ते से हट जाओ।",1
119,"क्षमा करें, यह कहने से कोई पीछे नहीं हट रहा है कि यह सब एक ""धोखा"" था। मैं ""टोन ऑफ़ चेंज,"" ""हार्ट ऑफ़ चेंज"" के बारे में कुछ नहीं देता। आप मुथा चोदने वालों ने एक गंभीर स्थिति ले ली और सभी को खतरे में डाल दिया। फक यू। माफी नहीं। कोरोनावाइरस",0
120,"दिल्ली पुलिस ने एक व्यक्ति के खिलाफ भारतीय दंड संहिता की धारा 509 के तहत मामला दर्ज किया है, जिसने कथित तौर पर मणिपुर की एक महिला पर थूक दिया था और उसे कल रात उत्तरी दिल्ली के विजय नगर इलाके में ""कोरोना"" कहा था। URL",1
121,"फेक न्यूज पेडर ध्रुव राथे ने कहा था: ""कोरोना वायरस चीन के बाहर नहीं फैलेगा, हमें चिंता करने की जरूरत नहीं है"" क्या इस आदमी ने कभी कुछ समझदारी से बात की है? URL",1
122,कथित रूप से @bbcworld द्वारा कथित तौर पर बताए गए कानो में  covid19 के एक मामले के बारे में घूमती हुई यह तस्वीर false है। इस छवि से डर और दहशत फैलाने के लिए पुष्टि की गई है। पुष्टि किए गए मामलों पर विवरण URL factsnotfear  covid19nigeria URL के माध्यम से पाया जा सकता है। : //t.co/hq9ddl9n9s,1
123,"सेन रैंड पॉल, जिस व्यक्ति ने  कोरोनोवायरस राहत बिल का विरोध किया और बीमार छुट्टी का भुगतान किया, उसने 22 मार्च को सकारात्मक परीक्षण किया और ऑन पीड सिक लीव अपने पिता, और पूर्व कांग्रेसी, रॉन पॉल, ने ""द कोरवावायरस हक्स"" नामक एक निबंध प्रकाशित किया। 17 मार्च। पाखंड URL रूट से संक्रमित",1
124,"नेवर फॉरगेट .. जब भारत कोरोना लड़ रहा था, तो @vinodkapri जैसे सूअर कांग्रेस के प्रचार के लिए पैनिक बनाने के लिए फेक न्यूज शेयर कर रहे थे। पीपीई की कोई कमी नहीं है। असम मेडिकल कॉलेज के छात्र पीपीई का परीक्षण कर रहे थे कि क्या कमी होने पर इसका उपयोग किया जा सकता है। URL",1
