,tweet_id,text,Has_Verifiable_Claim
16,1265381697266216960,চট্টগ্রাম মহানগর যুবদলের সভাপতি ও কেন্দ্রীয় যুবদলের সহ সভাপতি @Mossaraf Hossain Dipti ভাইয়ের COVID-19 POSITIVE. সবার দোয়া কামনা করছি।😥আল্লাহ ভাইকে সুস্থতা দান করুন।{আমিন}  pic.twitter.com/6sLwPkSVJj,Yes
17,1265372077420208129,"কিট সংকটে নোবিপ্রবিতে করোনা পরীক্ষা বন্ধ
 https://www.deshebideshe.com/news/details/228020 …
#kit #Covid_19 #coronavirus #kittest",Yes
18,1265369927826894848,"করোনায় শুধু যুক্তরাষ্ট্রেই মৃত্যু এক লাখ পার
 https://www.deshebideshe.com/news/details/228018 …
#COVID__19 #CoronaUpdates #coronavirus #CoronavirusUSA",Yes
19,1265366062826090496,"ভয়ংকর ঢাকা, করোনায় আক্রান্ত ১৪ হাজারের বেশি
 https://www.deshebideshe.com/news/details/228016 …
#COVID__19 #CoronaUpdates #coronavirus",Yes
20,1265361617056944129,সরকারি ও বেসরকারি হাসপাতালে Covid-19 ও Non-Covid রোগীরদের চিকিৎসা প্রদান প্রসঙ্গে  pic.twitter.com/6IdoLeY341,No
21,1265360125809659904,"করোনামুক্তিতে হোমিওপ্যাথির বড় সাফল্য! মাসে ৬ দিন এই ওষুধ খেতে বলছেন চিকিৎসকরা।
#Covid_19 #Homeopathy

লিঙ্কঃ https://bengali.news18.com/news/coronavirus-latest-news/homeopathy-got-huge-sucess-to-protect-covid-19-medicine-to-be-taken-only-6-days-a-month-akd-453916.html … pic.twitter.com/4GPNFijvh9",No
22,1265359685554593794,যাওয়া যাবে না কারণ.... Covid - 19.. মারাত্মক আকার ধারণ করছে,No
23,1265358282346172416,"বাসায় অন্য এক কাজে নিয়োজিত। আপনে ও আপনার বাসায় ছোট্ট মুনিদের মাথার চুলগুলো এভাবে কেটে দিতে পারেন। বাসায় থাকুন নিরাপদে থাকুন স্বাস্থ্য বিধি মেনে চলুন।
#CoronaVirus  pic.twitter.com/iD7bzrfd5K",No
24,1265357138555293696,ঈদের দ্বিতীয় দিনে পারিবারিক ব্যস্ততা এবং Covid-19 এর ঝুঁকি নিয়েও আমার ডাকে সাড়া দিয়ে ছিন্নমূল ও পথশিশুদের সাথে ঈদের খুশি ভাগাভাগি করে নেয়ার জন্য ধন্যবাদ জানাই আমার ভাই akbarhaidar fahad_mahfuz_chy ifti....…  https://www.instagram.com/p/CAqXqk0nR9n/?igshid=411j9kr7z14m …,Yes
25,1265356579861196800,"চট্টগ্রামে প্রথমবারের মতো করোনা রোগীর শরীরে প্লাজমা থেরাপি
 https://www.deshebideshe.com/news/details/228012 …
#COVID__19 #CoronaUpdates #coronavirus",No
26,1265355962031812608,"প্রথম পাতায় শুধু মৃতদের নাম, করোনা রুখতে আমেরিকার ব্যর্থতার দলিল ‘নিউ ইয়র্ক টাইমস’।
#America #NewYorkTimes #Covid_19 

লিঙ্কঃ https://www.sangbadpratidin.in/world/new-york-times-marks-grim-us-corona-milestone-with-front-page-victim-list/ … pic.twitter.com/IZFi4ngYYJ",Yes
27,1265355189864722433,"বড় সাফল্য, একসঙ্গে ৬০ জন করোনা রোগীকে সুস্থ করে বাড়ি ফেরাচ্ছে কলকাতা মেডিক্যাল।
#KolkataMedical #Corona 

লিঙ্কঃ https://www.sangbadpratidin.in/kolkata/big-success-sixty-corona-patient-at-kolkata-medical-college-released/ … pic.twitter.com/mGBzWcHYwr",Yes
28,1265354766386786304,"করোনা আবহে নতুন গয়না রুপোর মাস্ক, বিয়ের বাজারে চাহিদা তুঙ্গে।
#Covid_19 #SilverMask 

লিঙ্কঃ https://www.sangbadpratidin.in/lifestyle/fashion/the-silver-mask-is-the-new-fashion-statement-in-the-time-of-corona/ … pic.twitter.com/7fWajxslAI",No
29,1265353602622582784,"বিজ্ঞানীদের দাবি, করোনাভাইরাস রুখতে পারে #গাঁজা! #CoronaVirus

লিঙ্কঃ https://eisamay.indiatimes.com/lifestyle/health-fitness/a-team-of-canadian-scientists-believe-cannabis-could-help-prevent-and-treat-coronavirus/articleshow/75976864.cms … pic.twitter.com/sOV2Lvdxg1",No
30,1265348652660391937,"ফের নজির কেরলের, করোনায় ছেয়ে যাওয়া মহারাষ্ট্রে ডাক্তার-নার্স পাঠাচ্ছে ‘ঈশ্বরের আপন দেশ’।
#KeralaGovt #Maharashtra #Covid_19

লিঙ্কঃ https://www.thewall.in/news-maharashtra-gives-nod-to-keralas-offer-of-50-doctors-100-nurses-to-fight-covid-19-as-cases-cross-50k/ … pic.twitter.com/el8NdKsQsu",Yes
31,1265348325194301447,"♦#COVID19 ২৬/০৫/২০ আজ মঙ্গলবার আক্রান্ত#৩৯৭জন#, সূস্হ্য#২,৬৭৭জন# এবং মৃত্যু্#৭৮জন#। ইতালিতে এ পর্যন্ত মোট  আক্রান্ত রোগীদের সংখ্যা #২৩০,৫৫৫#। এর মধ্যে মৃত্যু৩২,৯৫৫জন# এবং সুস্থ্য#১৪৪,৬৫৮জন#!
আল্লাতায়ালা আমাদের সবাইকে হেফাজত করুন,আমিন।
News...
Tuhin Mahamud  pic.twitter.com/tCCdPA69xg",Yes
32,1265346001436577792,"করোনাভাইরাসের সর্বশেষ পরিস্থিতি নিয়ে আজকের ২৬ মে, ২০২০ ব্রিফিং। Corona ...  https://youtu.be/pI4DQZ9_Tbc  via @YouTube
#COVID
#COVID19
#COVID2019
#COVID__19
#CoronaUpdate
#CoronavirusOutbreak
#CoronaVirusUpdates
#coronavirus
#করোনাভাইরাস
#করোনাভাইরাসের
#bdcovid19update",Yes
33,1265342799144267778,সৰুক্ষেত্ৰী সমষ্টিৰ  বিধায়ক জাকিৰ হুছেইন সিকদাৰ ডাঙৰীয়াই এই Covid-19 ৰ দুৰ্যোগৰ সময়ত নিজৰ জীৱনক তুচ্ছ জ্ঞান কৰি মাজনিশা পৰ্য্যন্ত Quarantine Centre ত ৰাইজৰ সেৱাত ব্ৰতী হৈছে। Great work #MLA #JAKIR #HUSSAIN #SIKDAR ...Thanks pic.twitter.com/XQ9ODUA0AW,Yes
34,1265341856998518785,"করোনায় আক্রান্ত চসিক কাউন্সিলরের মৃত্যু
 https://www.deshebideshe.com/news/details/228005 …
#Bangladesh #COVID__19",Yes
35,1265340315910549505,"কক্সবাজারে আরও ৩৬ জন করোনায় আক্রান্ত
 https://www.deshebideshe.com/news/details/228003 …
#Bangladesh #COVID__19",Yes
36,1265338954892492800,"সিলেটে করোনা আক্রান্ত যুবকের মৃত্যু
 https://www.deshebideshe.com/news/details/228002 …
#sylhet #coronavirus #Covid_19 #COVIDー19",Yes
37,1265338809480351744,"গত ২৪ ঘণ্টায় INDIA-এ নতুন CORONAVIRUS আক্রান্ত ৬,৫৩৫ জন | মোট আক্রান্তের সংখ্যা দাঁড়াল ১,৪৫,৩৮০
 https://ift.tt/2X10uL4  pic.twitter.com/6TCguclwQo",Yes
38,1265338623555039232,"করোনা লকডাউন কাটিয়ে মাঠে ফিরলেন ক্রিকেটার, দেখুন ভিডিও
#Sports #Cricket #Coronavirus
 https://bengali.mykhel.com/cricket/james-anderson-returns-to-training-at-old-trafford-after-coronvirus-lockdown-014007.html …",No
39,1265337771180335110,"Coronavirus: বিশ্বজুড়ে সংক্রমিত ৫৬,৪০,৮৫৭, আমেরিকায় মৃত্যুসংখ্যা ১ লাখ ছাড়ালো  https://www.peoplesreporter.in/news/international-news/6720-coronavirus-worldwide-infected-56-40-857-america-crosses-1-lakh-death.html#.Xs1VOqQakGs.twitter …",Yes
40,1265336951722307589,"নীলফামারীতে এক বৃদ্ধাসহ আরও ৪ জন করোনা আক্রান্ত
 https://www.deshebideshe.com/news/details/227999 …
#coronavirus #Covid_19 #COVIDー19",Yes
41,1265335751249723393,ৰাজ্যত ৬৬৩ জনলৈ বৃদ্ধি পালে আক্ৰান্তৰ স্ংখ্যা#lockdown #COVID__19 #,Yes
42,1265335044509331456,"৩০নং পূর্ব মাদারবাড়ী ওয়ার্ড কাউন্সিলর, সদরঘাট থানা আওয়ামীলীগ এর সাধারণ সম্পাক ও চট্টগ্রাম চেম্বারের সাবেক পরিচালক আলহাজ্ব মাজহারুল ইসলাম চৌধুরী করোনা ভাইরাস(CoVid-19) আক্রান্ত হয়ে ঢাকায় চিকিৎসাধীন অবস্থায় ইন্তেকাল করেছেন। 
ইন্নালিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন।  pic.twitter.com/Yjl4ez7MBL",Yes
43,1265334541054382080,"লালমনিরহাটে পুলিশসহ ৩ জন করোনা আক্রান্ত
 https://www.deshebideshe.com/news/details/227998 …
#coronavirus #Covid_19 #COVIDー19",Yes
44,1265334523790635010,"২৪ ঘণ্টায় কেরানীগঞ্জে আরো ১২ জনের করোনা শনাক্ত
 https://www.deshebideshe.com/news/details/227997 …
#Bangladesh #COVID__19",Yes
45,1265333368830361600,"ভাইরাস থাকলেও সম্পর্ক যেন নষ্ট না হয়...
#COVID_19UpdateWestBengal #CoronavirusOutbreakindia #CautionYesPanicNo #EiSamay https://eisamay.indiatimes.com/west-bengal-news/24pargana-news/barrackpore-elderly-man-win-from-corona-neighbours-welcomed-him/articleshow/76013027.cms …",No
46,1265329656183439361,"বগুড়ায় নতুন করে ১১ জনের করোনা শনাক্ত
 https://www.deshebideshe.com/news/details/227994 …
#Bangladesh #Covid_19",Yes
47,1265329527892443138,করোনা আতঙ্কে দুর্গাপুরের পিএফ অফিসের কর্মীরা কাজ বন্ধ করে বাইরে  https://bardhaman.com/corona-scare-staffs-of-durgapur-pf-office-go-outside-the-office/ … Via @BardhamanDotCom: Presenting #Bardhaman's news since 2003 | #CoronaVirus #Corona #CoronaScare @CpADpc #DurgapurPFoffice #Durgapur #PaschimBardhaman,Yes
48,1265329027314675712,"@IamSumanDe পরিজয়ী শ্রোমিকরা বাড়ি ফিরছেন, খুব ভালো, কিন্তু origin station এ ৫-৬ দিন আগে কেন Covid টেস্ট করে ট্রেনে ওঠানো হচ্ছেনা...",Yes
49,1265326883022843904,"ডা. জাফরুল্লাহকে প্লাজমা থেরাপি
 https://www.deshebideshe.com/news/details/227991 …
#Bangladesh #Covid_19",Yes
50,1265326363310993409,"COVID-19 করোনা প্রকৃতির জন্য অভিশাপ না আর্শীবাদ।
 https://rannarrokomari.blogspot.com/2020/05/covid-19-corona-viras.html … pic.twitter.com/WlWR2Q2KBe",No
51,1265322776790876160,"সাতক্ষীরায় আম্ফানে বেড়েছে করোনার ভয়
 https://www.deshebideshe.com/news/details/227989 …
#Bangladesh #Covid_19",Yes
52,1265322253358469120,এই পাগলা ডাক্তারের ঔষধ খেয়ে অনেক করোনাভাইরাস আকান্ত  নিরীহ মানুষ মারা গেছে ।#Covid19  pic.twitter.com/tSiguHUs0A,No
53,1265320763562668032,"করোনা শনাক্ত একজন, ইউনো ওসিসহ ১৫০ জন কোয়ারেন্টিনে
 https://www.deshebideshe.com/news/details/227988 …
#coronavirus #Covid_19 #COVIDー19 #Police",Yes
54,1265319731612971008,"প্রতিদিন নতুন করে করোনা সংক্রমণের নিরিখে চার নম্বরে ভারত
 https://www.deshebideshe.com/news/details/227987 …
#coronavirus #Covid_19 #COVIDー19",Yes
55,1265315733950681092,"ল্যাবের ভাইরাসগুলির সঙ্গে কোভিড-১৯-এর কোনও মিল নেই বলে দাবি চিনের।
#Coronavirus #China #SangbadPratidin https://www.sangbadpratidin.in/world/wuhan-lab-had-3-live-bat-coronaviruses-said-china/ …",Yes
56,1265314014063550464,"#পশ্চিমবঙ্গ এ বিপুল পরিমাণ এ হ্যান্ড স্যানিটাইজার,মাস্ক,পিপি কিট তৈরি হচ্ছে যা এই #Corona পরিস্থিতি তে মোকাবেলার জন্য একান্ত প্রয়োজনীয় দ্রব্য।
ইতি মধ্যেই 1.8 lakh লিটার হ্যান্ড স্যানিটাইজার তৈরি হয়েছে।
 https://timesofindia.indiatimes.com/city/kolkata/bengal-scores-big-in-making-sanitizer-masks/articleshow/75281689.cms … pic.twitter.com/MHNKhL72lt",Yes
57,1265313739940737025,"আর কত বলব, কত ঘটনা, কত অত্যাচার!! তাও আমরা সাম্প্রদায়িক, আর আপনারা secular!!!.. মাফ করবেন আপনাদের secularism ধিক্কার জানাই! কারণ সেটা communalism এর চেও communal! আর covid 19 থেকেও ভয়ঙ্কর!",No
58,1265313733057736704,"জানুন কোন কোন আইন ভাঙার অভিযোগ
#DelhiPolice #COVID__19 #TablighiJamaat #TablighiJamaat https://www.thewall.in/foreigners-from-tablighi-jamaat-can-be-jailed-in-india-for-5-years-delhi-police-to-high-court/ …",Yes
59,1265312737267048448,"সব মিলিয়ে রাজ্যের করোনা সংক্রমণের গতি ঊর্ধ্বমুখী হলেও, এখনই আশাহত হচ্ছে না স্বাস্থ্য ভবন। কেন? পড়ুন বিস্তারিত।
#COVID__19 #COVID19India
#BengalFightsCorona @wbdhfw https://www.thewall.in/?p=224127 ",Yes
60,1265312493569601536,"ঘোলা জলে সুযোগ নিতে ছাড়ছে না গেরুয়া শিবির
@RahulGandhi @OfficeofUT #COVID__19 #Maharashtra @BJP4India @INCIndia https://www.thewall.in/news-national-turmoil-loomed-in-maharastra-government-after-the-comments-of-rahul-gandhi/ …",No
61,1265310817198759940,"Coronavirus: রাজ্যে আক্রান্ত ছাড়ালো ৪ হাজার, শেষ ২৪ ঘণ্টায় নতুন সংক্রমণ ১৯৩ জনের  https://www.peoplesreporter.in/news/west-bengal-news/6717-coronavirus-total-infected-crosses-in-wb-4000-marks-in-last-24-hrs-193.html#.Xs08IiM6cNU.twitter …",Yes
62,1265309533624168450,"শাহরিয়ারের ফের করোনা পজিটিভ, ফুসফুসে সংক্রমণ
 https://www.deshebideshe.com/news/details/227982 …
#Bangladesh #Covid_19",Yes
63,1265309091343167488,"করোনা সংক্রমণে উদ্বেগ বাড়ছে জেলায়, সংক্রামিত ৮০ শতাংশ পরিযায়ী শ্রমিক
#Coronavirus #WestBengal https://bengali.oneindia.com/news/west-bengal/coronavirus-infection-raised-in-bengal-districts-more-are-in-districts-083474.html …",Yes
64,1265308910992400387,"#ekhonkhobor #COVID__19 #COVID19India #COVID2019india #Covid_19india #CoronaWarriors #CoronaUpdatesInIndia #CoronavirusCrisis #Corona #CoronavirusOutbreak 
গত ২৪ ঘন্টায় রাজ্যে করোনায় আক্রান্ত আরও ১৯৩, মৃত ৫, সুস্থ ৭২ জন – নবান্নে জানালেন স্বরাষ্ট্রসচিব http://ekhonkhobor.com/2020/05/26/24-ghontai-coronai-akranto-aro-193-mrito-5-sustho-72-janalen-sorastrosochib/ …",Yes
65,1265305717449293828,Corona দেখি এখন গাছে,No
66,1265300967446073344,"@IamSumanDe মানুষ corona তে নয় খিদে তে মরবে. 
#SangeSuman",No
67,1265297478904983554,"কারণ মহারাষ্ট্রে আজ সবথেকে বেশি covid-19,একটু ভেবে চিন্তে তো কাজ করছে না কেন্দ্রীয় সরকার, তারা তো ট্রেন এর ব্যবস্থা করেই খালাস,কাজেই রাজ্য সরকারকেই তো ভেবেচিন্তে কাজ করতে হবে।
এটাও এদের বুঝিয়ে বলে দিতে হবে ?",No
68,1265297111635177473,"আচরণ কি তৃণমূলের পতনের কারণ নয়? কৈলাস বিজয়বর্গীয়কে আক্রমণ করতে গিয়ে বার বার শ্রী হরি সম্পর্কে কটূ কথা প্রয়োগ করে নিজেদের কবর নিজেরাই খুঁড়ছেন না কি? Covid19 আপনাদের একটা সুযোগ দিয়েছে আত্মসমীক্ষার, চৈতন্যদ্যয়ের! বিজেপি ক্ষমতায় এসে গেলে কিন্তু রবীন্দ্রসঙ্গীত বাজবে না!",No
69,1265293485575270400,"করোনা ভাইরাস: উহানে ৯ দিনে ৬৫ লাখ নমুনা পরীক্ষা  | করোনা আপডেট:
#ইত্তেফাক #ittefaq #করোনা #covid19 #coronavirus",Yes
70,1265293024369586177,"করোনা চিকিৎসায় যুক্ত হচ্ছে সরকারি-বেসরকারি সব হাসপাতাল
 https://www.deshebideshe.com/news/details/227976 …
#Bangladesh #Covid_19",Yes
71,1265292554813280256,"বিপর্যস্ত স্বাস্থ্য পরিষেবা। লকডাউনের জেরে খাদ্য সঙ্কটও তীব্র। বাড়ছে বিক্ষোভ।  ভয়াবহ অবস্থা চিলিতে।
#COVID__19 #COVID19Pandemic #chile #CoronaPandemic https://www.thewall.in/?p=224102 ",Yes
72,1265291561996337153,"“আমরা সবাই ভয়ে আছি। কিন্তু সংহতির নীতি মেনেই এটা আমাদের করতেই হবে। আমরা সুপারহিরো নই, আমরা বিপ্লবী। আমরা চিকিৎসক।”
#COVID__19 #COVID19Pandemic #CovidWarriors #Cuba https://www.thewall.in/?p=224083 ",No
73,1265290704718266368,"বর্তমান করোনা ভাইরাস 'হিমশৈলের চূড়া' মাত্র, চিনা ভাইরোলজিস্টের বক্তব্যে নতুন আশঙ্কা

#ChinaVirus #CoronaPandemic #Corona
 https://bit.ly/3d5Mllc ",Yes
74,1265290117255700480,"#Covid_19
#পাঁশকুড়া_রেড_ভলেনটির্য়াসের উদ্যোগে #করোনা_আমফানে ক্ষতিগ্রস্ত ৬শতাধিক মানুষের খাদ্য সামগ্রী প্রদান করা হয়... ২৬/০৫/২০২০ pic.twitter.com/4n9fDw6jZG",Yes
75,1265287857809297411,"করোনা অতিমারীতে বধিরতা ডেকে আনতে পারে প্রাণ সংশয়ও, সতর্কবাণী নাক-কান-গলা বিশেষজ্ঞদের
 https://bit.ly/2M03gdc 
#coronavirus",Yes
76,1265286241370599426,"করোনা সংক্রমণে শীর্ষে যাবে এই তিন রাজ্য
#coronavirus #kerala #punjub #hariyana #deathtoll https://bit.ly/2XoJJIw ",Yes
77,1265286015129915392,"এই ক্রিকেটারই বাংলাদেশের বিপক্ষে অভিষেকে হ্যাট্রিক করে বিশ্বরেকর্ড গড়েছিলেন। 🤔
বিস্তারিত প্রতিবেদনে:  https://bit.ly/3gou8le 
#dailycricket #Covid19",No
78,1265285326047592448,"সুযোগ থাকবে,

তবুও প্রিয় মানুষের হাত ধরতে ভয় পাবে!!😿
#COVID19",Yes
79,1265284607395553280,"জুলাই থেকে স্কুল খোলার প্রস্তাব কেন্দ্রের, তবে শুধুই নবম থেকে দ্বাদশ শ্রেণির জন্য
#Zee24Ghanta #Coronavirus #Lockdown https://zeenews.india.com/bengali/nation/hrd-proposes-to-reopen-school-from-july-for-class-9-to-12_317580.html …",Yes
80,1265283558400131072,"#coronavirus ‘অজানা, অচেনা ভাইরাস সম্পর্কে জেনে, গবেষণা করে  আগাম সতর্কতা দিতে হবে বিজ্ঞানীদের, নয়তো আরও বিপদ’   https://bengali.abplive.com/news/coronavirus-is-just-tip-of-the-iceberg-warns-chinas-bat-woman-698370 …",Yes
81,1265281536766685184,"বিশ্বব্যাপী লকডাউন শিথিল করার যে প্রবণতা শুরু হয়েছে তাতে এই মহামারীর প্রকোপ আবার দ্বিতীয় দফায় ভয়াবহ আকার ধারণ করতে পারে @WHO
#Lockdown #COVID19 #coronavirus #CoronaPandemic https://drishtibhongi.in/2020/05/26/corona-pandemic-to-worsen-cautions-who/ …",Yes
82,1265280728289251335,"CoronaVirus: গত ২৪ ঘণ্টায় দেশজুড়ে করোনা সংক্রামিত ৬,৫৩৫ এবং মৃত ১৪৬ | Khabor24x7  https://www.khabor24x7.com/news/national/covid19-death-toll-4167-covid-cases-reaches-to-145379-15219/ …",No
83,1265280415188713475,"রংপুরে এরশাদের 'পল্লী নিবাস' লকডাউন
#COVID19
 https://www.prothomalo.com/bangladesh/article/1658837/%E0%A6%B0%E0%A6%82%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%87-%E0%A6%8F%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A7%80-%E0%A6%A8%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B8-%E0%A6%B2%E0%A6%95%E0%A6%A1%E0%A6%BE%E0%A6%89%E0%A6%A8 …",Yes
84,1265280215124791297,জেলায় Corona আক্রান্তের অধিকাংশই পরিযায়ী শ্রমিক  https://thebanganews.com/central-govt-is-sending-more-trains-to-west-bengal-from-mumbai/ …,Yes
85,1265278361435115521,"আজ হুগলি জেলার, জেলা শাসকের দপ্তরে video conference এর মাধ্যমে আমফান ঘূর্ণিঝড়ের খয়ক্ষতির বিষয়ে এবং COVID-19 এর বর্তমান পরিস্থিতি নিয়ে বিশেষ পর্যালোচনা সভা হলো।।  pic.twitter.com/l0dMZuPuYj",Yes
